expression,model,strategy,ECS,correctness,hallucination_rate,robustness_score,hallucination_types,avg_response_time,num_valid_outputs
(x**3 - 1)/(x - 1),meta-llama/llama-3-8b-instruct,zero_shot,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'none', 'none', 'General_Logic_Hallucination']",1.0350000000000001,4
(x**3 - 1)/(x - 1),meta-llama/llama-3-8b-instruct,chain_of_thought,0.5,0.5,0.5,0.5,"['none', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination']",3.1975000000000002,4
(x**3 - 1)/(x - 1),meta-llama/llama-3-8b-instruct,symbolic_scaffolding,0.75,0.75,0.25,0.75,"['none', 'none', 'none', 'General_Logic_Hallucination']",2.665,4
(x**3 - 1)/(x - 1),meta-llama/llama-3-8b-instruct,self_consistency,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination']",2.875,4
(x**3 - 1)/(x - 1),google/gemma-2-9b-it,zero_shot,0.6666666666666666,1.0,0.25,0.8167,"['Invalid_Syntax_Failure', 'none', 'none', 'none']",0.8766666666666666,3
(x**3 - 1)/(x - 1),google/gemma-2-9b-it,chain_of_thought,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",3.7824999999999998,4
(x**3 - 1)/(x - 1),google/gemma-2-9b-it,symbolic_scaffolding,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",3.0225,4
(x**3 - 1)/(x - 1),google/gemma-2-9b-it,self_consistency,0.6666666666666666,1.0,0.25,0.8167,"['Invalid_Syntax_Failure', 'none', 'none', 'none']",3.2433333333333336,3
(x**3 - 1)/(x - 1),deepseek/deepseek-chat,zero_shot,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",1.5125000000000002,4
(x**3 - 1)/(x - 1),deepseek/deepseek-chat,chain_of_thought,1.0,1.0,0.5,0.9,"['none', 'Invalid_Syntax_Failure', 'none', 'Invalid_Syntax_Failure']",5.3975,2
(x**3 - 1)/(x - 1),deepseek/deepseek-chat,symbolic_scaffolding,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",3.835,4
(x**3 - 1)/(x - 1),deepseek/deepseek-chat,self_consistency,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",3.66,4
(x**3 - 1)/(x - 1),qwen/qwen-2.5-72b-instruct,zero_shot,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",0.8625,4
(x**3 - 1)/(x - 1),qwen/qwen-2.5-72b-instruct,chain_of_thought,1.0,1.0,0.75,0.85,"['none', 'Invalid_Syntax_Failure', 'Invalid_Syntax_Failure', 'Invalid_Syntax_Failure']",7.845,1
(x**3 - 1)/(x - 1),qwen/qwen-2.5-72b-instruct,symbolic_scaffolding,0.6666666666666666,1.0,0.25,0.8167,"['none', 'Invalid_Syntax_Failure', 'none', 'none']",4.3025,3
(x**3 - 1)/(x - 1),qwen/qwen-2.5-72b-instruct,self_consistency,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",4.5,4
(x**3 - 8)/(x - 2),meta-llama/llama-3-8b-instruct,zero_shot,0.5,0.5,0.5,0.5,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none']",1.7675,4
(x**3 - 8)/(x - 2),meta-llama/llama-3-8b-instruct,chain_of_thought,0.5,0.5,0.5,0.5,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none']",7.2525,4
(x**3 - 8)/(x - 2),meta-llama/llama-3-8b-instruct,symbolic_scaffolding,0.5,0.75,0.25,0.65,"['none', 'none', 'General_Logic_Hallucination', 'none']",3.67,4
(x**3 - 8)/(x - 2),meta-llama/llama-3-8b-instruct,self_consistency,0.5,0.5,0.5,0.5,"['none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none']",5.1225,4
(x**3 - 8)/(x - 2),google/gemma-2-9b-it,zero_shot,0.6666666666666666,1.0,0.25,0.8167,"['none', 'none', 'Invalid_Syntax_Failure', 'none']",1.596666666666667,3
(x**3 - 8)/(x - 2),google/gemma-2-9b-it,chain_of_thought,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",2.3375000000000004,4
(x**3 - 8)/(x - 2),google/gemma-2-9b-it,symbolic_scaffolding,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",1.66,4
(x**3 - 8)/(x - 2),google/gemma-2-9b-it,self_consistency,0.6666666666666666,1.0,0.25,0.8167,"['none', 'none', 'Invalid_Syntax_Failure', 'none']",2.9866666666666664,3
(x**3 - 8)/(x - 2),deepseek/deepseek-chat,zero_shot,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",1.6675,4
(x**3 - 8)/(x - 2),deepseek/deepseek-chat,chain_of_thought,1.0,1.0,0.75,0.85,"['Invalid_Syntax_Failure', 'Invalid_Syntax_Failure', 'none', 'Invalid_Syntax_Failure']",9.4975,1
(x**3 - 8)/(x - 2),deepseek/deepseek-chat,symbolic_scaffolding,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",6.43,4
(x**3 - 8)/(x - 2),deepseek/deepseek-chat,self_consistency,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",6.495,4
(x**3 - 8)/(x - 2),qwen/qwen-2.5-72b-instruct,zero_shot,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",1.7075,4
(x**3 - 8)/(x - 2),qwen/qwen-2.5-72b-instruct,symbolic_scaffolding,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",4.4775,4
(x**3 - 8)/(x - 2),qwen/qwen-2.5-72b-instruct,self_consistency,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",3.535,4
(x**4 - 16)/(x**2 - 4),meta-llama/llama-3-8b-instruct,zero_shot,0.5,0.5,0.5,0.5,"['none', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination']",0.825,4
(x**4 - 16)/(x**2 - 4),meta-llama/llama-3-8b-instruct,chain_of_thought,0.75,0.75,0.25,0.75,"['none', 'none', 'none', 'General_Logic_Hallucination']",3.5975,4
(x**4 - 16)/(x**2 - 4),meta-llama/llama-3-8b-instruct,symbolic_scaffolding,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination']",2.4050000000000002,4
(x**4 - 16)/(x**2 - 4),meta-llama/llama-3-8b-instruct,self_consistency,0.5,0.5,0.5,0.5,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'none']",3.0875000000000004,4
(x**4 - 16)/(x**2 - 4),google/gemma-2-9b-it,zero_shot,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",1.06,4
(x**4 - 16)/(x**2 - 4),google/gemma-2-9b-it,chain_of_thought,0.75,0.75,0.25,0.75,"['General_Logic_Hallucination', 'none', 'none', 'none']",1.865,4
(x**4 - 16)/(x**2 - 4),google/gemma-2-9b-it,symbolic_scaffolding,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",2.48,4
(x**4 - 16)/(x**2 - 4),google/gemma-2-9b-it,self_consistency,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",2.7775,4
(x**4 - 16)/(x**2 - 4),deepseek/deepseek-chat,zero_shot,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",1.4000000000000001,4
(x**4 - 16)/(x**2 - 4),deepseek/deepseek-chat,chain_of_thought,0.5,0.5,0.75,0.45,"['Invalid_Syntax_Failure', 'Invalid_Syntax_Failure', 'none', 'Extrinsic_Variable_Invention']",6.975,2
(x**4 - 16)/(x**2 - 4),deepseek/deepseek-chat,symbolic_scaffolding,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",5.7225,4
(x**4 - 16)/(x**2 - 4),deepseek/deepseek-chat,self_consistency,0.75,1.0,0.0,0.9,"['none', 'none', 'none', 'none']",12.157499999999999,4
(x**4 - 16)/(x**2 - 4),qwen/qwen-2.5-72b-instruct,zero_shot,1.0,1.0,0.0,1.0,"['none', 'none', 'none', 'none']",0.9325,4
