expression,model,ECS,correctness,hallucination_rate,robustness_score,hallucination_types,perturbation_types,perturbation_halluc_map,avg_response_time,num_outputs
(x**3 - 1)/(x - 1),meta-llama/llama-3-8b-instruct,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'none', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.6162500000000002,8
(x**3 - 1)/(x - 1),google/gemma-2-9b-it,0.625,0.75,0.25,0.7,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'General_Logic_Hallucination']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'General_Logic_Hallucination'}",1.4875,8
(x**3 - 1)/(x - 1),deepseek/deepseek-chat,0.5,0.875,0.125,0.725,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.1875,8
(x**3 - 1)/(x - 1),qwen/qwen-2.5-72b-instruct,0.875,0.875,0.125,0.875,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.6337499999999998,8
(x**3 - 8)/(x - 2),meta-llama/llama-3-8b-instruct,0.25,0.25,0.75,0.25,"['General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'Extrinsic_Variable_Invention', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'General_Logic_Hallucination', 'expanded': 'General_Logic_Hallucination', 'factored': 'none', 'simplified': 'General_Logic_Hallucination', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",2.2199999999999998,8
(x**3 - 8)/(x - 2),google/gemma-2-9b-it,0.5714285714285714,0.7142857142857143,0.375,0.6393,"['Invalid_Syntax_Failure', 'none', 'none', 'none', 'none', 'none', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Invalid_Syntax_Failure', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'General_Logic_Hallucination', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",1.8814285714285712,7
(x**3 - 8)/(x - 2),deepseek/deepseek-chat,0.625,0.875,0.125,0.775,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",2.9724999999999997,8
(x**3 - 8)/(x - 2),qwen/qwen-2.5-72b-instruct,0.875,0.875,0.125,0.875,"['none', 'none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'none', 'adv_zero_trick': 'Extrinsic_Variable_Invention'}",2.04625,8
(x**4 - 16)/(x**2 - 4),meta-llama/llama-3-8b-instruct,0.25,0.25,0.75,0.25,"['Variable_Loss_Error', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'none', 'General_Logic_Hallucination', 'General_Logic_Hallucination', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'Variable_Loss_Error', 'expanded': 'General_Logic_Hallucination', 'factored': 'General_Logic_Hallucination', 'simplified': 'none', 'adv_variable_remap': 'General_Logic_Hallucination', 'adv_log_exp_wrap': 'General_Logic_Hallucination', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.99,8
(x**4 - 16)/(x**2 - 4),google/gemma-2-9b-it,0.75,0.875,0.125,0.825,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",1.67375,8
(x**4 - 16)/(x**2 - 4),deepseek/deepseek-chat,0.625,0.875,0.125,0.775,"['none', 'none', 'none', 'none', 'none', 'none', 'Extrinsic_Variable_Invention', 'none']","['original', 'expanded', 'factored', 'simplified', 'adv_variable_remap', 'adv_log_exp_wrap', 'adv_identity_mul', 'adv_zero_trick']","{'original': 'none', 'expanded': 'none', 'factored': 'none', 'simplified': 'none', 'adv_variable_remap': 'none', 'adv_log_exp_wrap': 'none', 'adv_identity_mul': 'Extrinsic_Variable_Invention', 'adv_zero_trick': 'none'}",2.38375,8
